driver,query_shape,phase,n,mean,median,std,cv,min,p90,p95,p99,max
mongo,"deep sub collection child, grandchild and parent range filter",build,2895.0,231.2594127806563,219.0,43.1152975263819,0.18643694113015702,154.0,296.0,316.2999999999997,346.0,356.0
neo4j,"deep sub collection child, grandchild and parent range filter",build,2828.0,7.6814002828854315,7.0,1.632264627951965,0.2124957127398682,4.0,10.0,11.0,12.0,12.0
postgres,"deep sub collection child, grandchild and parent range filter",build,2932.0,54.99113233287858,45.0,19.534743383483832,0.3552344269842254,33.0,86.0,95.0,109.0,121.0
mongo,"deep sub collection child, grandchild and parent range filter",exec,2950.0,5687.452542372881,3577.5,4580.958754359255,0.8054500183043317,908.0,12558.099999999999,13201.0,14201.669999999996,16992.0
neo4j,"deep sub collection child, grandchild and parent range filter",exec,2943.0,2658.8311247026845,2043.0,1228.1259123768987,0.4619044440117384,1030.0,4449.8,4826.9,5383.699999999999,6856.0
postgres,"deep sub collection child, grandchild and parent range filter",exec,2945.0,1218.2624787775892,1157.0,473.24379220011537,0.38845798868809506,487.0,1879.6,2059.5999999999995,2368.12,2718.0
mongo,"deep sub collection child, grandchild and parent range filter",total,2950.0,5926.929830508475,3827.0,4579.671186207501,0.7726886123459653,1100.0,12786.0,13442.199999999999,14430.649999999996,17186.0
neo4j,"deep sub collection child, grandchild and parent range filter",total,2943.0,2668.139313625552,2054.0,1229.8743861622918,0.4609483394969731,1036.0,4457.8,4834.9,5410.119999999999,6863.0
postgres,"deep sub collection child, grandchild and parent range filter",total,2943.0,1273.791709140333,1205.0,479.31834647380697,0.3762925626178657,521.0,1946.6000000000004,2119.9,2452.16,2735.0
mongo,deep sub collection collect all,build,843.0,947.0604982206406,915.0,120.368929684868,0.12709740287027063,768.0,1133.2000000000003,1210.0,1316.7400000000002,1351.0
neo4j,deep sub collection collect all,build,812.0,6.307881773399015,6.0,0.8778894912676836,0.13917342188780926,5.0,8.0,8.0,8.0,8.0
postgres,deep sub collection collect all,build,946.0,53.60782241014799,46.0,17.80373607168527,0.33211078665853466,31.0,79.0,87.0,101.19999999999982,112.0
mongo,deep sub collection collect all,exec,913.0,1853.2048192771085,1808.0,291.9813941643416,0.15755484290087088,1210.0,2275.0,2402.4,2609.16,2672.0
neo4j,deep sub collection collect all,exec,930.0,2375.749462365591,2354.5,288.03628341727097,0.12124017619705837,1637.0,2754.2,2867.0,3081.84,3188.0
postgres,deep sub collection collect all,exec,932.0,1089.3615879828326,1069.0,172.066766775647,0.1579519313640042,821.0,1334.9,1418.8999999999999,1537.69,1589.0
mongo,deep sub collection collect all,total,906.0,2849.3167770419427,2765.5,421.043864704751,0.14777011390845193,2038.0,3485.0,3667.0,3997.250000000001,4071.0
neo4j,deep sub collection collect all,total,930.0,2383.458064516129,2362.0,289.0303652920147,0.12126513555869564,1643.0,2764.0,2877.2999999999997,3088.84,3219.0
postgres,deep sub collection collect all,total,932.0,1143.5697424892703,1122.5,179.68650485976923,0.15712771874204703,857.0,1398.0,1486.35,1610.5199999999995,1659.0
mongo,deep sub collection equality,build,2941.0,609.4321659299558,331.0,455.6451849824094,0.7476552936570439,185.0,1260.0,1389.0,1711.7999999999997,2336.0
neo4j,deep sub collection equality,build,2816.0,7.318892045454546,7.0,1.462817416260496,0.19986869695242876,4.0,9.0,10.0,11.0,11.0
postgres,deep sub collection equality,build,2918.0,50.33036326250857,42.0,16.219013649914718,0.32225107467079167,31.0,75.0,85.0,92.0,101.0
mongo,deep sub collection equality,exec,2950.0,5441.092881355932,3083.0,4573.372535682591,0.8405246216901368,757.0,12154.2,12909.65,14242.139999999996,18444.0
neo4j,deep sub collection equality,exec,2948.0,3284.0980325644505,2293.0,1910.0100883824225,0.5815935058707595,1129.0,6127.900000000001,6578.6,7280.130000000005,10529.0
postgres,deep sub collection equality,exec,2950.0,1994.6566101694916,1376.5,1354.2710598231183,0.6789494757736982,474.0,3972.0,4119.199999999999,4688.319999999992,7179.0
mongo,deep sub collection equality,total,2950.0,6059.794237288135,3420.5,5022.170257669151,0.8287691068396179,962.0,13476.2,14204.799999999996,15544.829999999993,19742.0
neo4j,deep sub collection equality,total,2948.0,3292.416553595658,2300.0,1911.0670051638838,0.5804450846527307,1135.0,6136.200000000001,6587.6,7292.360000000002,10563.0
postgres,deep sub collection equality,total,2950.0,2046.8766101694914,1429.5,1356.8713443290824,0.6628984559146077,514.0,4020.4999999999995,4169.549999999999,4764.689999999995,7217.0
mongo,deep sub collection get one by id,build,2842.0,121.1643209007741,117.0,27.90456319321883,0.23030346710786997,46.0,162.0,174.0,193.0,199.0
neo4j,deep sub collection get one by id,build,2864.0,6.991969273743017,7.0,1.396919830690441,0.1997891832757764,3.0,9.0,10.0,11.0,11.0
postgres,deep sub collection get one by id,build,2689.0,41.64001487541837,40.0,6.376970237075012,0.15314524397155227,28.0,51.0,55.0,60.0,62.0
mongo,deep sub collection get one by id,exec,2891.0,1052.4718090626081,1029.0,228.41198319393786,0.21702432428795854,462.0,1365.0,1476.0,1642.1999999999998,1711.0
neo4j,deep sub collection get one by id,exec,2903.0,1331.709266276266,1320.0,207.1059156817713,0.15551886656228067,807.0,1600.8000000000002,1685.0,1842.0,1926.0
postgres,deep sub collection get one by id,exec,2949.0,1303.5612071888777,955.0,753.4382609705563,0.5779845678250441,397.0,2402.2000000000016,2624.7999999999997,2922.08,4017.0
mongo,deep sub collection get one by id,total,2893.0,1177.2122364327688,1153.0,251.37152393467062,0.2135311850787295,537.0,1515.0,1637.6000000000004,1822.08,1887.0
neo4j,deep sub collection get one by id,total,2903.0,1339.3379262831554,1327.0,207.75514690681007,0.1551177957629848,812.0,1608.8000000000002,1693.0,1851.96,1936.0
postgres,deep sub collection get one by id,total,2949.0,1349.0193285859614,997.0,754.2855511266876,0.5591362074236014,429.0,2453.2000000000003,2670.2,2977.3199999999997,4056.0
mongo,deep sub collection grand child range filter,build,2950.0,16770.390847457627,7748.0,18105.09799693409,1.079587122424091,466.0,42464.1,47185.099999999984,52076.26999999998,64219.0
neo4j,deep sub collection grand child range filter,build,2658.0,8.085402558314522,8.0,1.2302812189822416,0.1521607873088641,5.0,10.0,10.0,12.0,12.0
postgres,deep sub collection grand child range filter,build,2890.0,58.07612456747405,46.0,21.098798830232678,0.36329557089711895,33.0,89.0,95.0,120.0,125.0
