collection_size;result_size
100;276
100;45
100;488
100;244
100;353
100;176
100;504
100;21
100;218
100;570
100;651
100;494
100;356
100;384
100;1333
100;210
100;170
100;661
100;702
100;757
100;499
100;117
100;197
100;50
100;111
100;627
100;246
100;348
100;165
100;476
100;1650
100;149
100;488
100;204
100;735
100;870
100;408
100;1840
100;1298
100;746
100;4016
100;4720
100;672
100;4169
100;104
100;3767
100;9239
100;2264
100;193
100;147
100;1522
100;10548
100;7295
100;1029
100;2534
100;756
100;867
100;1755
100;4458
100;1422
100;9300
100;288
100;1554
100;333
100;2341
100;774
100;2701
100;1019
100;1427
100;346
100;441
100;3130
100;1355
100;108
100;1565
100;649
100;6126
100;7403
100;2443
100;1868
100;592
100;868
100;978
100;2022
100;1124
100;461
100;335
100;942
100;4494
100;1491
100;15102
100;3848
100;1991
100;3584
100;658
100;580
100;537
100;393
100;4764
100;7322
100;5829
100;3148
100;3752
100;2903
100;883
100;9690
100;1143
100;3035
100;1726
100;1607
100;4948
100;2295
100;1951
100;5765
100;9612
100;1041
100;1063
100;635
100;2433
100;3585
100;341
100;63236
100;68218
100;6762
100;76694
100;106926
100;247783
100;68256
100;20176
100;21340
100;12113
100;22465
100;23055
100;5545
100;9444
100;12646
100;19172
100;44050
100;6935
100;5446
100;146540
100;86102
100;36001
100;4864
100;40943
100;69599
100;16604
100;8741
100;47671
100;45247
100;103217
100;5888
100;134215
100;13347
100;35984
100;31413
100;7363
100;63637
100;137636
100;90990
100;79348
100;9097
