driver,query_shape,phase,n,mean,median,std,cv,min,p90,p95,p99,max
mongo,deep sub collection id in list,exec,2939.0,1579.7941476692752,1556.0,300.70301928388835,0.19034316573936289,921.0,2029.0,2108.0,2275.62,2491.0
neo4j,deep sub collection id in list,exec,2933.0,1844.0879645414252,1795.0,347.4537644828803,0.18841496238997613,1102.0,2338.8,2497.4,2677.3599999999997,2885.0
postgres,deep sub collection id in list,exec,2949.0,1703.91997287216,1488.0,899.564899182062,0.5279384674772831,589.0,2986.4000000000005,3098.0,3339.0,4525.0
mongo,deep sub collection id in list,total,2930.0,1872.0116040955631,1848.0,346.1540051629603,0.18491018132881706,1145.0,2365.1,2470.199999999999,2738.55,2864.0
neo4j,deep sub collection id in list,total,2932.0,1857.7128240109141,1810.0,348.22477916753246,0.18744812151088786,1115.0,2354.9,2512.45,2690.69,2897.0
postgres,deep sub collection id in list,total,2949.0,1765.0413699559172,1559.0,904.580032348135,0.512497920867842,632.0,3056.0,3158.6,3404.56,4594.0
mongo,deep sub collection id in list only,build,2485.0,267.5645875251509,265.0,31.28361563127677,0.11691986566920456,198.0,305.0,325.7999999999997,365.0,382.0
neo4j,deep sub collection id in list only,build,2638.0,12.274829416224412,12.0,2.2048786421903115,0.1796260108736,7.0,17.0,17.15000000000009,18.0,18.0
postgres,deep sub collection id in list only,build,2894.0,36.39875604699378,32.0,11.931939660948224,0.3278117429492126,21.0,59.0,62.0,68.0,70.0
mongo,deep sub collection id in list only,exec,2945.0,1658.4339558573854,1650.0,300.86402151874887,0.18141453294304186,933.0,2075.0,2145.7999999999997,2312.3599999999997,2555.0
neo4j,deep sub collection id in list only,exec,2942.0,1706.567641060503,1673.0,299.1259226353701,0.1752792654907519,1006.0,2115.9,2184.8999999999996,2363.1800000000003,2633.0
postgres,deep sub collection id in list only,exec,2949.0,1573.7388945405223,1404.0,866.9118053993958,0.5508612695580001,491.0,2800.600000000001,2922.0,3132.04,4137.0
mongo,deep sub collection id in list only,total,2939.0,1953.9738006124533,1953.0,334.321686588581,0.17109834660208403,1137.0,2384.0,2494.0,2711.4399999999987,2947.0
neo4j,deep sub collection id in list only,total,2940.0,1720.2438775510204,1688.0,299.903743285084,0.17433792219742353,1016.0,2131.0,2200.0,2380.270000000001,2646.0
postgres,deep sub collection id in list only,total,2949.0,1611.6303831807393,1447.0,869.9571772235323,0.5397994393147212,514.0,2842.0,2958.0,3166.08,4252.0
mongo,deep sub collection parent range filter,build,2634.0,372.99126803340926,363.0,39.98005009131114,0.10718763016117064,297.0,431.0,455.0,494.0,509.0
