form_id;collectionSize;actual_fastest;actual_fastest_duration;n_drivers_compared;ml_predicted_fastest;ml_pred_duration_postgres;ml_pred_duration_mongo;ml_pred_duration_neo4j;majority_predicted
2298239981936239358;1000;neo4j;1831.7075892857142;3;neo4j;2790.644896542148;6734.130226606165;1900.9132590389092;neo4j
2311658522699135076;1000;neo4j;1918.490486257928;3;neo4j;2164.186139101196;6147.940515874579;1918.4782385252379;neo4j
2311658522699135076;15000;postgres;8537.324786324787;1;neo4j;6608.939170216728;9880.567017661044;2381.1509228575123;neo4j
2420125548069914849;3000;postgres;2090.628062360802;3;neo4j;2205.7485127702407;6340.986460312088;1936.0548426534967;neo4j
2614336428805471147;9000;neo4j;1364.804008908686;3;neo4j;4747.815775521272;4272.60994080575;1480.3412196675706;neo4j
2798755672638114246;100;neo4j;1475.358574610245;3;neo4j;2545.1566851755824;7446.066282533016;1991.686412232734;neo4j
2984436085959465646;1000;postgres;1591.1115789473683;3;postgres;1466.9631834491788;5651.391811426673;1900.4106910009828;neo4j
2984436085959465646;15000;postgres;5251.195789473684;1;neo4j;5911.71621456471;9384.018313213137;2363.083375333257;neo4j
3023036639377030247;100;neo4j;1634.246887966805;3;neo4j;1161.659363289645;1166.2979987114663;1096.3487627799327;neo4j
3023036639377030247;1000;neo4j;1424.8817427385893;3;neo4j;1447.3934867185005;1406.2525595405964;1126.092006772722;neo4j
3140063653330046280;100;neo4j;1366.075819672131;3;neo4j;1701.12030517734;1985.3687423305405;1279.758650996192;neo4j
3140063653330046280;500;postgres;1268.104081632653;3;neo4j;1828.1132489234983;2092.015213810154;1292.9778705485426;neo4j
3140063653330046280;3000;neo4j;1446.375;3;neo4j;2621.8191473369857;2758.5556605577367;1375.5979927507344;neo4j
3140063653330046280;9000;neo4j;1379.5357873210635;3;neo4j;4526.713303529356;4358.252732751935;1573.8862860359948;neo4j
3140063653330046280;15000;neo4j;1455.2719836400818;2;neo4j;6431.607459721726;5957.949804946134;1772.1745793212551;neo4j
3200381190457382989;100;postgres;1213.0310559006211;3;neo4j;1841.327141542687;5474.594783677912;1811.3642841312662;neo4j
3200381190457382989;3000;neo4j;3067.8319502074687;3;neo4j;2762.0259837023327;6247.781701905109;1907.2036258858088;neo4j
3221325576274428927;1000;postgres;1147.3777777777777;3;postgres;1153.2023060824156;4622.5768049358685;1755.1858402951668;neo4j
3261133048331320170;100;neo4j;1525.4743875278396;3;neo4j;4079.251684563449;10424.257386380803;2214.632874042026;neo4j
3580708077801495241;100;neo4j;1292.3881856540083;3;neo4j;1793.3459924309536;5378.066001510602;1783.0001451697099;neo4j
3580708077801495241;3000;postgres;2565.5557894736844;3;neo4j;2714.0448345905993;6151.252919737799;1878.8394869242522;neo4j
3625272256298212169;9000;neo4j;4586.275862068966;2;neo4j;7055.718920547317;13403.941817389756;2585.236667864745;neo4j
3718404708143474634;100;neo4j;1694.9843400447428;3;neo4j;3683.0792566195423;10516.902070397597;2335.8999345674815;neo4j
3781727411837071052;500;neo4j;4149.714964370546;3;neo4j;3226.513432860227;9184.346082947766;2261.8580854482943;neo4j
4031863119841526644;9000;neo4j;4661.094915254237;2;neo4j;6900.880341375316;12293.43222548711;2435.9817901426186;neo4j
4062941903455482520;500;neo4j;1872.2737913486005;3;neo4j;2379.5926209689815;7215.564469628152;2019.8190147516593;neo4j
4062941903455482520;9000;postgres;7268.457868020305;1;neo4j;5078.19267557484;9481.801988569934;2300.7274302391115;neo4j
4062941903455482520;15000;postgres;8885.291262135923;1;neo4j;6983.08683176721;11081.499060764132;2499.015723524372;neo4j
4066493230910611264;1000;neo4j;1471.533195020747;3;neo4j;2044.292049059441;1947.2299321107616;1173.8807151791557;neo4j
4066493230910611264;3000;neo4j;1317.300518134715;3;neo4j;2679.256767790231;2480.4622895088273;1239.976812940909;neo4j
4727086781211084254;3000;neo4j;1471.2553191489362;3;neo4j;1873.1763980905412;2637.7471532118816;1403.169416898107;neo4j
4727086781211084254;15000;neo4j;1324.6483050847457;3;neo4j;5682.964710475281;5837.141297600279;1799.7460034686278;neo4j
