driver,query_shape,phase,n,mean,median,std,cv,min,p90,p95,p99,max
mongo,sub collection collect all only,exec,934.0,924.5428265524625,878.0,127.95966585063647,0.13840317849610775,734.0,1103.7,1158.3999999999996,1279.7799999999986,1358.0
neo4j,sub collection collect all only,exec,934.0,1727.7687366167024,1700.0,254.99231866855715,0.1475847509359848,1311.0,2040.7,2178.3999999999996,2406.729999999999,2538.0
postgres,sub collection collect all only,exec,877.0,483.06841505131126,484.0,42.25479755929861,0.0874716629006066,397.0,536.0,554.5999999999998,603.48,624.0
mongo,sub collection collect all only,total,929.0,1226.6512378902046,1183.0,133.84357426432393,0.10911298185662781,1014.0,1408.4,1466.3999999999996,1610.44,1692.0
neo4j,sub collection collect all only,total,934.0,1743.941113490364,1716.0,255.30079302843012,0.14639301238644764,1326.0,2056.7,2193.3999999999996,2421.399999999999,2552.0
postgres,sub collection collect all only,total,881.0,508.55051078320093,512.0,46.122071257968976,0.09069319621159751,416.0,565.0,584.0,637.4000000000001,663.0
mongo,sub collection equality,build,2936.0,577.5551771117166,587.0,377.35342836873514,0.6533634245230626,148.0,992.0,1266.25,1660.2500000000005,1806.0
neo4j,sub collection equality,build,2866.0,9.02407536636427,9.0,1.8293075392620566,0.20271412471581232,5.0,11.0,12.0,14.0,15.0
postgres,sub collection equality,build,2535.0,31.704930966469426,31.0,4.617974232859986,0.14565476385183976,24.0,38.0,42.0,47.0,49.0
mongo,sub collection equality,exec,2950.0,4469.941355932204,2568.0,4126.191430961754,0.9230974418681694,519.0,10333.1,10960.149999999996,12562.119999999997,13992.0
neo4j,sub collection equality,exec,2948.0,3019.9983039348713,2377.0,1865.0508270216433,0.6175668458461043,926.0,5591.3,6084.450000000001,6972.210000000012,10125.0
postgres,sub collection equality,exec,2948.0,1325.1909769335143,889.5,892.2442077845458,0.6732948105707712,422.0,2622.6000000000004,2787.5500000000006,3168.0,4502.0
mongo,sub collection equality,total,2950.0,5055.376949152543,3209.0,4450.605073179012,0.8803705674064697,696.0,11335.1,11957.55,13503.659999999985,14979.0
neo4j,sub collection equality,total,2948.0,3029.986431478969,2386.0,1866.2609497679748,0.6159304643674701,934.0,5602.900000000001,6098.050000000001,6982.800000000012,10135.0
postgres,sub collection equality,total,2948.0,1362.688263229308,939.0,896.7491741138134,0.6580736022402447,446.0,2663.6000000000004,2826.0,3213.420000000003,4556.0
mongo,sub collection get one by id,build,2782.0,56.79115744069015,54.0,8.863332918975397,0.15606889027102186,37.0,70.0,74.0,82.0,83.0
neo4j,sub collection get one by id,build,2591.0,9.01891161713624,8.0,2.047135047760275,0.22698249352733968,5.0,12.0,15.0,15.0,15.0
postgres,sub collection get one by id,build,2723.0,31.434814542783695,30.0,3.9846868706055107,0.1267603110933655,21.0,37.0,40.0,43.0,44.0
mongo,sub collection get one by id,exec,2846.0,607.414968376669,567.0,89.17473402749357,0.14681023463385365,461.0,743.5,796.75,857.0,882.0
neo4j,sub collection get one by id,exec,2928.0,1068.8234289617487,973.0,216.6796474009599,0.2027272620805494,726.0,1408.6000000000004,1479.3000000000002,1643.0,1737.0
postgres,sub collection get one by id,exec,2944.0,703.4470108695652,498.0,390.02780411517733,0.5544522872206747,305.0,1338.7000000000003,1417.0,1577.5400000000036,2039.0
mongo,sub collection get one by id,total,2855.0,667.4063047285464,624.0,99.2498010859335,0.14870971458128687,506.0,820.0,875.2999999999997,942.0,969.0
neo4j,sub collection get one by id,total,2928.0,1079.502049180328,983.0,217.14355670512793,0.20115159287562842,742.0,1418.0,1489.65,1654.19,1751.0
postgres,sub collection get one by id,total,2942.0,737.3280081577159,530.0,393.07659552957443,0.5331095403682191,333.0,1375.9,1454.0,1629.1800000000003,2080.0
mongo,sub collection id in list,build,2636.0,262.18854324734446,259.0,15.120757362913736,0.05767131231454708,228.0,282.0,290.0,308.0,314.0
neo4j,sub collection id in list,build,2642.0,13.059803179409538,13.0,1.2781552486697842,0.09786941128522983,9.0,15.0,16.0,17.0,17.0
postgres,sub collection id in list,build,2733.0,41.4873765093304,37.0,8.978557800626952,0.21641662009184162,29.0,61.0,62.0,63.0,63.0
mongo,sub collection id in list,exec,2861.0,869.976931142957,836.0,116.11852890195883,0.13347311261392275,672.0,1042.0,1110.0,1182.4,1214.0
neo4j,sub collection id in list,exec,2896.0,1679.7700276243095,1676.0,245.52599547084802,0.1461664343529776,1204.0,2006.5,2116.25,2310.05,2423.0
postgres,sub collection id in list,exec,2942.0,1140.573419442556,971.0,510.91995340757984,0.4479500790552237,511.0,1902.9,2150.5499999999984,2334.0,2840.0
mongo,sub collection id in list,total,2854.0,1146.1408549404346,1107.0,139.10856015859883,0.12137126039873028,909.0,1358.7000000000003,1430.35,1526.0,1557.0
neo4j,sub collection id in list,total,2896.0,1694.3128453038673,1690.0,246.2020741871961,0.14531087034463278,1217.0,2021.5,2134.25,2326.300000000001,2436.0
postgres,sub collection id in list,total,2940.0,1185.002380952381,1026.0,511.50727602593264,0.43165084243530094,543.0,1947.1,2191.0499999999997,2388.4400000000005,2890.0
mongo,sub collection id in list only,build,2707.0,239.62910971555226,240.0,20.06703129683487,0.08374204336299168,197.0,264.0,275.0,295.0,303.0
neo4j,sub collection id in list only,build,2723.0,13.291957399926552,13.0,1.758457454224248,0.13229484577147116,8.0,16.0,17.0,19.0,19.0
postgres,sub collection id in list only,build,2812.0,39.09637268847795,36.0,8.452703557983089,0.21620173373460233,25.0,55.0,57.0,61.0,63.0
mongo,sub collection id in list only,exec,2868.0,912.3148535564853,876.0,124.13936536216575,0.13607074890673118,716.0,1100.0,1164.0,1247.33,1290.0
neo4j,sub collection id in list only,exec,2911.0,1630.6815527310202,1622.0,248.2188175267096,0.1522178362237554,1001.0,1963.0,2083.5,2270.9,2388.0
postgres,sub collection id in list only,exec,2946.0,1094.4745417515276,930.0,466.5748018286058,0.4263002783800975,514.0,1783.5,1956.5,2157.7000000000025,2661.0
mongo,sub collection id in list only,total,2883.0,1164.397155740548,1121.0,146.45550356160288,0.12577796402161276,933.0,1381.0,1459.0,1572.5399999999995,1619.0
neo4j,sub collection id in list only,total,2911.0,1645.276880796977,1637.0,249.26242870161158,0.15150181201164642,1024.0,1979.0,2102.0,2289.0,2404.0
postgres,sub collection id in list only,total,2945.0,1135.9015280135823,979.0,468.1771860398956,0.4121635322197555,540.0,1828.0,1995.3999999999992,2205.56,2717.0
mongo,sub collection parent range filter,build,2937.0,350.32345931222335,280.0,120.4917274083999,0.3439442155685397,212.0,495.0,515.0,622.0,833.0
neo4j,sub collection parent range filter,build,2920.0,12.620205479452055,11.0,3.79329784707172,0.30057338236274245,7.0,17.0,19.0,23.0,26.0
postgres,sub collection parent range filter,build,2826.0,37.63446567586695,33.0,9.655140371351566,0.2565504836579336,27.0,54.0,56.0,64.0,66.0
mongo,sub collection parent range filter,exec,2949.0,4408.118345201763,2542.0,4014.5464245850258,0.9107165711544155,587.0,10463.800000000001,11213.0,12322.8,15878.0
neo4j,sub collection parent range filter,exec,2944.0,2807.9901494565215,2110.0,1491.1273551355528,0.5310301232446119,1142.0,5049.400000000001,5412.85,6060.700000000002,8226.0
postgres,sub collection parent range filter,exec,2949.0,1279.7314343845371,858.0,804.4962238051216,0.6286445750955778,435.0,2437.2000000000003,2681.2,3011.12,4440.0
mongo,sub collection parent range filter,total,2949.0,4761.883689386233,2961.0,4052.1929000088885,0.8509642747135604,813.0,10828.2,11582.0,12714.76,16136.0
neo4j,sub collection parent range filter,total,2944.0,2821.3145380434785,2119.5,1489.4556840353878,0.5279296809877475,1158.0,5060.700000000001,5424.0,6075.85,8237.0
postgres,sub collection parent range filter,total,2948.0,1319.7628900949796,907.5,806.6315582323828,0.6111943018600346,467.0,2483.3,2720.0,3045.5900000000006,4474.0
mongo,sub collection string equality,build,2865.0,75.69528795811519,77.0,19.84039832920535,0.2621087634963979,39.0,110.0,114.0,122.0,128.0
